country,username,post_id,uploader_id,collection_time,upload_date,post_text,comments_amount,retweet_amount,like_amount,views_amount,conflict_sentiment,lang,israel_related_similarity,israel_related_class_from_similarity,conflict_sentiment_v,cluster_idx,cluster_label
us,repgreglandsman,1740424874236182892_a,1613637172346642432_a,2023-12-28 17:38:04.934000,2023-12-28 17:30:00,"We love hearing from our constituents!
 
In 2023, we sent over 30,000 responses to folks who reached out.
 
It’s an honor to serve you! https://t.co/LCp5sBgj61",0,1,1,53.0,0,en,0.697497864497759,0.0,0,2,Public Service and Community Engagement
us,repjoemorelle,1740415066334249223_a,1064595993222615040_a,2023-12-28 17:38:05.452000,2023-12-28 16:51:01,"50 years ago, President Nixon signed the Endangered Species Act into law, legislation designed to safeguard our environment and protect our precious wildlife and natural resources.

Inspired by this historic act—I'm proud to continue this important work in Congress.",1,6,18,832.0,0,en,0.7128357819311951,0.0,0,-1,outlier
us,repbowman,1740385883847627132_a,1344389506963808264_a,2023-12-28 17:38:05.626000,2023-12-28 14:55:04,"My RAP Act would make sure Black and brown artists can’t be unfairly prosecuted for their lyrics. It’s not a get out of jail free card, we’re just asking prosecutors to do their job and find real evidence instead of weaponizing Black and brown art.",61,10,49,4139.0,0,en,0.7086341995307426,0.0,0,2,Public Service and Community Engagement
us,senatorbennet,1740394675276546131_a,224285242_a,2023-12-28 17:38:05.668000,2023-12-28 15:30:00,"On @SenateAgDems, I brought together farmers, ranchers, foresters and experts to push for greater investment in the health of our forests and watersheds, and to improve @USDA conservation programs for producers.

This is critical as Colorado faces a hotter, drier future. https://t.co/NcKqKJwiMO",10,12,37,2574.0,0,en,0.7070729817270818,0.0,0,2,Public Service and Community Engagement
us,stevescalise,1740385607749378218_a,1209417007_a,2023-12-28 17:38:07.706000,2023-12-28 14:53:58,"RT @GOPoversight: 🚨BREAKING🚨

@RepJamesComer &amp; @Jim_Jordan are investigating whether President Biden sought to influence or obstruct his so…",0,2037,0,,0,en,0.706763507912186,0.0,0,-1,outlier
us,maziehirono,1740405244910072190_a,92186819_a,2023-12-28 17:38:08.096000,2023-12-28 16:12:00,"In June, I proudly voted to confirm @Dilawar Syed to be @SBAgov Deputy Administrator, making him the highest-ranking Muslim official in the federal government.

Since then, he has worked tirelessly with @SBAIsabel to ensure our small businesses have the support they need.",3,1,21,2243.0,0,en,0.7024011614393151,0.0,0,2,Public Service and Community Engagement
us,senlummis,1740415311457775880_a,22831059_a,2023-12-28 17:38:08.769000,2023-12-28 16:52:00,"From giving 'non-profits' billions to facilitate human trafficking in Central America to handing illegal immigrants a cell phone, plane ticket and work visa when they arrive, the invasion at our southwest border is a result of Joe Biden's policies.

An open border is a choice.",4,0,14,1731.0,0,en,0.7543960812109509,1.0,0,1,U.S. Immigration and Border Security
us,repgonzalez,1740422219334046189_a,818536152588238849_a,2023-12-28 17:38:08.817000,2023-12-28 17:19:27,"I'd love to stay in touch in the coming year with updates on what I'm doing for Texas's 34th district. You can sign up for my email newsletter here. 
https://t.co/2GMFH3O9vH",0,0,2,86.0,0,en,0.7173773606511857,1.0,0,2,Public Service and Community Engagement
us,repnewhouse,1740413133741855153_a,2930635215_a,2023-12-28 17:38:09.192000,2023-12-28 16:43:21,RT @westerncaucus: Western Caucus Chairman @RepNewhouse and @NatResources Chairman @RepWesterman released the following statements on the E…,0,8,0,,0,en,0.7077326220629296,0.0,0,2,Public Service and Community Engagement
us,repbrianmast,1740372546573263344_a,814103950404239360_a,2023-12-28 17:38:10.094000,2023-12-28 14:02:04,"ICYMI: Not a single American dollar should be used to teach antisemitism to the next generation, whether it’s here in the United States or in Gaza. https://t.co/NjsVEX9yYt",101,129,621,15472.0,9,en,0.7607432835029204,1.0,3,0,October 7th Hamas Attacks and Their Aftermath
us,repdwstweets,1740372927994814871_a,1140648348_a,2023-12-28 17:38:10.475000,2023-12-28 14:03:35,"Don’t forget: call a cab, ride share or pick a designated driver this holiday season.

#ICYMI: I hosted sober driving advocates @MADDNational, @SADDnation and local police to stress how we can all stay safe and healthy into 2024. https://t.co/NJskmE196x",7,5,11,618.0,0,en,0.6875462042123102,0.0,0,2,Public Service and Community Engagement
us,repdarrensoto,1740395892333756863_a,818713465653051392_a,2023-12-28 17:38:09.960000,2023-12-28 15:34:50,"The electric vehicle revolution is in progress. Florida has the 2nd most EV’s in the country. These federal charging station grants are key to meeting the growing demand. 

Local governments who ignore them risk falling behind. 🚙 ⚡️ ☀️ 
https://t.co/sX5MDsMY8U",3,3,12,375.0,0,en,0.7147298860304663,0.0,0,2,Public Service and Community Engagement
us,repyvetteclarke,1740417845899796668_a,240812994_a,2023-12-28 17:38:10.671000,2023-12-28 17:02:04,"When extreme MAGA Republicans tried to default on our debt and shut down the government, House Democrats stood firm to protect middle class families, pay our bills, and keep the government open.

We’ll always reject their radical priorities.",0,1,2,318.0,0,en,0.7214889273413458,1.0,0,2,Public Service and Community Engagement
us,senatorhassan,1740400935711731870_a,946549322_a,2023-12-28 17:38:10.862000,2023-12-28 15:54:52,RT @GWOTMF: Today marks two years since @POTUS signed the GWOT Memorial Location Act authorizing construction of the Memorial on the #Natio…,0,4,0,,0,en,0.7219969598771971,1.0,0,2,Public Service and Community Engagement
us,repmikequigley,1740400715061997607_a,56864092_a,2023-12-28 17:38:10.972000,2023-12-28 15:54:00,"When we return to Washington, Congress must work to fund the government and aid our allies. 

We can't play politics with people's lives. Period.",3,2,8,685.0,9,en,0.7722145761820841,1.0,9,2,Public Service and Community Engagement
us,repsmucker,1740411033230139891_a,41417564_a,2023-12-28 17:38:11.430000,2023-12-28 16:35:00,I appreciated visiting Oak Street Health in Lancaster to learn more about how they support Medicare patients with primary care services. https://t.co/2cNkizMp3o,2,0,1,170.0,0,en,0.6949643707106808,0.0,0,2,Public Service and Community Engagement
us,senatorcardin,1740422216679113005_a,109071031_a,2023-12-28 17:38:12.267000,2023-12-28 17:19:26,"RT @SFRCdems: 5 years ago today, Russian authorities wrongfully detained @freepaulwhelan. This marks yet another holiday season he has spen…",0,5,0,,0,en,0.7130702995533617,0.0,0,0,October 7th Hamas Attacks and Their Aftermath
us,senmikelee,1740422453984452636_a,88784440_a,2023-12-28 17:38:12.558000,2023-12-28 17:20:23,The crisis at our southern border threatens the safety and sovereignty of our nation. But nothing will change until we have a President willing to act in America’s best interests.,45,34,121,6037.0,0,en,0.7637987588804713,1.0,0,1,U.S. Immigration and Border Security
us,repchiproy,1740410443628425657_a,1082790600292925440_a,2023-12-28 17:38:12.846000,2023-12-28 16:32:39,"New year, same border crisis.

Every GOP Senator SHOULD BE getting behind #HR2 in January and STOP pushing weak, swamp deals that will just keep Texas under siege.",12,26,73,3229.0,0,en,0.741557202043976,1.0,0,1,U.S. Immigration and Border Security
us,repchiproy,1740396211314536456_a,1082790600292925440_a,2023-12-28 17:38:12.846000,2023-12-28 15:36:06,"We must cut off funding to NGOs that encourage and assist illegal immigration — even if some ""Republicans"" in the Senate want to give them a free pass
 
#HR2 would stop the cash flow of tax dollars to groups that undermine our security &amp; sovereignty. That's the baseline, period.",62,94,278,12441.0,0,en,0.7433822483172432,1.0,0,1,U.S. Immigration and Border Security
us,repchiproy,1740373807309971625_a,1082790600292925440_a,2023-12-28 17:38:12.846000,2023-12-28 14:07:04,"No more watered down swamp ""deals."" No more excuses. 

Republicans should accept nothing less than #HR2 and a secure border.

#NoSecurityNoFunding

https://t.co/CrKtWVcgd1",83,75,351,5925.0,0,en,0.7266143649743415,1.0,0,1,U.S. Immigration and Border Security
us,repdavidkustoff,1740372032976568546_a,816012124505931780_a,2023-12-28 17:38:12.588000,2023-12-28 14:00:01,"NEWS: Passport processing times are now 6-8 weeks for routine processing &amp; 2-3 weeks for expedited service.

If you are traveling in the new year, I encourage you to get your passport now!

More information can be found here: https://t.co/UTUXRxZxFD",5,0,3,478.0,0,en,0.6928478279787472,0.0,0,-1,outlier
us,randpaul,1740402245878046859_a,216881337_a,2023-12-28 17:38:13.724000,2023-12-28 16:00:05,RT @reason: Congress spent $7.5 billion on electric vehicle chargers two years ago. How many have been built? One! https://t.co/AAU4hNd5om,0,1315,0,,0,en,0.6913993100540133,0.0,0,2,Public Service and Community Engagement
us,repdanbishop,1740422827315224627_a,1176522535531360257_a,2023-12-28 17:38:15.849000,2023-12-28 17:21:52,RT @SenMikeLee: The crisis at our southern border threatens the safety and sovereignty of our nation. But nothing will change until we have…,0,34,0,,0,en,0.7488744586286707,1.0,0,1,U.S. Immigration and Border Security
us,repgolden,1740413311957819409_a,1080891667308298240_a,2023-12-28 17:38:15.860000,2023-12-28 16:44:03,"Maine has one of the highest shares of veterans in the country, which makes fulfilling our obligation to those who served especially vital.

I was proud to pursue this mission in 2023: https://t.co/OHnjDHZFRS",0,2,4,862.0,0,en,0.7377658332344068,1.0,0,2,Public Service and Community Engagement
us,repguthrie,1740407258465657035_a,1908143071_a,2023-12-28 17:38:17.076000,2023-12-28 16:20:00,I’m always happy to visit with my friends at the Lincoln Trail Development District. I recently attended their Christmas Luncheon and met with constituents to discuss their top priorities for 2024. https://t.co/GNasHJGJcC,1,0,5,245.0,0,en,0.7124459048420366,0.0,0,2,Public Service and Community Engagement
us,gopmajoritywhip,1740417324568494522_a,2914515430_a,2023-12-28 17:38:17.598000,2023-12-28 17:00:00,"Gensler’s SEC sides with Wall Street, not Main Street.

I’m proud to join @WarrenDavidson as a co-lead on his bill, the SEC Stabilization Act, so we can #FireGaryGensler.",99,186,842,16962.0,0,en,0.6884063434326908,0.0,0,2,Public Service and Community Engagement
us,senstabenow,1740399403536646418_a,76456274_a,2023-12-28 17:38:18.167000,2023-12-28 15:48:47,"I agree, @SenatorBaldwin.",15,19,77,3872.0,0,en,0.7228128969943811,1.0,0,-1,outlier
us,repjayapal,1740417828195557483_a,815733290955112448_a,2023-12-28 17:38:18.353000,2023-12-28 17:02:00,"Even as members of their own party admit there is no evidence for impeachment, extreme MAGA Republicans continue pushing forward this political, Trump-ordered exercise.

Meanwhile, Democrats are still focused on fighting for our constituents and moving America forward.",29,20,66,4303.0,0,en,0.7409376144379455,1.0,0,2,Public Service and Community Engagement
us,repchrispappas,1740379575631351989_a,1067748650485497862_a,2023-12-28 17:38:17.883000,2023-12-28 14:30:00,"New Hampshire has always played a vital role in domestic manufacturing and innovation.

This investment, made possible by the CHIPS and Science Act, will support semiconductor production right here in NH &amp; create more good-paying jobs for Granite Staters.

https://t.co/o3Lwsyz4j0",3,0,1,290.0,0,en,0.7096218622217804,0.0,0,2,Public Service and Community Engagement
us,repmarkalford,1740392448982221036_a,1612483604071727104_a,2023-12-28 17:38:17.912000,2023-12-28 15:21:09,"The numbers don’t lie. 

This Administration has created a crisis at our border and has zero intention of fixing it.",31,7,43,1471.0,0,en,0.7339592930406779,1.0,0,1,U.S. Immigration and Border Security
us,repsusanwild,1740396186643652812_a,1069636653353000962_a,2023-12-28 17:38:17.753000,2023-12-28 15:36:00,I’m working to make sure we can reliably produce high-quality goods at home to prevent shortages and create good-paying jobs! My Supply Chain Security and Resilience Act would ensure businesses big and small have the support needed to Make it in America. https://t.co/lR9FkIRxEj,0,2,7,263.0,0,en,0.7051828925772335,0.0,0,2,Public Service and Community Engagement
us,repdlesko,1740394676199493862_a,996094929733652481_a,2023-12-28 17:38:18.555000,2023-12-28 15:30:00,2023 had the highest number of encounters at our Southern Border EVER! We are in a crisis. A safe border is a SECURE border! https://t.co/ojrAix6ITs.,16,2,11,571.0,0,en,0.7566995631142064,1.0,0,1,U.S. Immigration and Border Security
us,repgusbilirakis,1740420596121350429_a,26051676_a,2023-12-28 17:38:18.313000,2023-12-28 17:13:00,"My colleagues and I are fighting to restore American energy independence, reduce energy prices and protect our national interests. https://t.co/ao8XTq93Ih",2,1,2,186.0,0,en,0.7552985553162811,1.0,0,2,Public Service and Community Engagement
us,repgusbilirakis,1740389688496500989_a,26051676_a,2023-12-28 17:38:18.313000,2023-12-28 15:10:11,"As my team prepares for 2024, I’d like to know what issues are most important to you!  Submit your answers in the reply section. https://t.co/3cEHMUAEzn",30,4,6,1202.0,0,en,0.7159527026233199,1.0,0,2,Public Service and Community Engagement
us,replalota,1740397270754046349_a,1588581125177442305_a,2023-12-28 17:38:19.533000,2023-12-28 15:40:19,The NDAA takes serious steps to take on the growing threat from China and ensure America remains dominant in the Indo-Pacific. #CCPChina https://t.co/4IZPGpOiFz,4,3,7,355.0,0,en,0.7371031721290298,1.0,0,2,Public Service and Community Engagement
us,joaquincastrotx,1740413576752570769_a,231510077_a,2023-12-28 17:38:19.018000,2023-12-28 16:45:06,RT @JoaquinCastrotx: I cannot support sending Israel more weapons as long as Prime Minister Benjamin Netanyahu remains in power &amp; I urge th…,0,1323,0,,1,en,0.7742570601085936,1.0,1,0,October 7th Hamas Attacks and Their Aftermath
us,repryanzinke,1740347615240446160_a,2953494478_a,2023-12-28 17:38:19.297000,2023-12-28 12:23:00,"Growing up in Whitefish, we stood and said the Pledge of Allegiance every day at school. There’s not better place than America and I’ve fought for everything it stands for as a Navy SEAL and in the halls of our government to keep it that way. God bless America!",14,7,60,1646.0,0,en,0.7165816132692604,1.0,0,-1,outlier
us,repkaygranger,1740370264414998935_a,161743731_a,2023-12-28 17:38:19.150000,2023-12-28 13:53:00,https://t.co/qERRyKdEjs,6,1,12,886.0,0,en,0.7357243309125635,1.0,0,-1,outlier
us,senatortimscott,1740373336654319959_a,217543151_a,2023-12-28 17:38:20.681000,2023-12-28 14:05:12,"This legislation also directs the Treasury Secretary to study all high-value Iranian assets around the world that are currently blocked by U.S. sanctions and provide that information to Congress. 
 
https://t.co/rqpiyI3vJf",17,14,57,10142.0,0,en,0.7424384320505787,1.0,0,2,Public Service and Community Engagement
us,senatortimscott,1740372238807752816_a,217543151_a,2023-12-28 17:38:20.681000,2023-12-28 14:00:50,"After Hamas’s October 7 attack on Israel, I stood by our ally Israel and introduced the Revoke Iranian Funding Act, a bill to permanently freeze the $6 billion released by the Biden administration to Iran.",26,25,230,13929.0,3,en,0.790992647404632,1.0,9,0,October 7th Hamas Attacks and Their Aftermath
us,repbryansteil,1740413565704732791_a,1075205691621720064_a,2023-12-28 17:38:20.877000,2023-12-28 16:45:04,"We cannot ignore the drug and human trafficking crisis. Strong border security is the only way to solve it. 

I’m working to help secure our borders: https://t.co/9P1SBYl5zN",4,0,4,349.0,0,en,0.7451783609143771,1.0,0,1,U.S. Immigration and Border Security
us,repfletcher,1740403507646116313_a,1075904377221722113_a,2023-12-28 17:38:21.555000,2023-12-28 16:05:06,"50 yrs ago today, the Endangered Species Act became law, beginning the important work of categorizing and working to protect threatened and critically endangered animals.

Today, the ESA's remarkable work continues to save their habitats, end poaching, and stabilize populations. https://t.co/Migy64lY07",1,1,6,344.0,0,en,0.7068130277997814,0.0,0,-1,outlier
us,repfranklin,1740415890011906499_a,1343664721384398849_a,2023-12-28 17:38:21.646000,2023-12-28 16:54:18,We've been busy working for YOU this year! #ByTheNumbers https://t.co/3lWlzu6Ewx,6,2,2,272.0,0,en,0.6971567949333042,0.0,0,2,Public Service and Community Engagement
us,reptenney,1740377760810573926_a,797201048490430465_a,2023-12-28 17:38:22.536000,2023-12-28 14:22:47,"Make no mistake: 

“reallocation of funds from the police” = defund the police. 

We can’t let the radical groups get their way. 

#BackTheBlue",23,8,38,1140.0,0,en,0.7191282487666686,1.0,0,2,Public Service and Community Engagement
us,repdesposito,1740424226987991064_a,1608215359462559746_a,2023-12-28 17:38:22.869000,2023-12-28 17:27:25,"As 2023 comes to a close, I couldn’t be prouder of the work our team has done for #NY04. 

I look forward to continuing to deliver results for #LongIsland in 2024.  🇺🇸 https://t.co/s1dCOnwD8U",3,1,1,72.0,0,en,0.6895999115099986,0.0,0,2,Public Service and Community Engagement
us,repdesposito,1740354430720163865_a,1608215359462559746_a,2023-12-28 17:38:22.869000,2023-12-28 12:50:05,RT @HouseGOP: House Republicans are committed to ending Joe Biden’s war on American energy that is why we passed the Lower Energy Costs Act.,0,71,0,,0,en,0.6993727310647805,0.0,0,2,Public Service and Community Engagement
us,repcohen,1740409808526733529_a,162069635_a,2023-12-28 17:38:23.313000,2023-12-28 16:30:08,"Was Ja Morant doing 'gun celebration' in Grizzlies' win vs Pelicans? Explaining 'Rock Ya Hips' dance https://t.co/ct6SVkkETH via @memphisnews
PEOPLE NEED TO GET OFF JA’S BACK. A USC RECEIVER DID THE SAME CELEBRATION DANCE LAST NIGHT. JA IS YOUNG &amp; HIP. As Isaac Hayes said DIG IT!",0,3,14,757.0,0,en,0.6902253288358867,0.0,0,2,Public Service and Community Engagement
us,reploritrahan,1740417326460396019_a,1079802482640019456_a,2023-12-28 17:38:23.705000,2023-12-28 17:00:00,"Protecting our environment and the life it supports is a top priority. On the 50th anniversary of the Endangered Species Act, we continue our commitment to protecting fish, wildlife and plants that are threatened or endangered.",0,0,4,324.0,0,en,0.7223161958694131,1.0,0,-1,outlier
us,replcd,1740420344358260881_a,1583530102297600000_a,2023-12-28 17:38:23.305000,2023-12-28 17:12:00,"Tackling the fentanyl crisis has been one of my top priorities. I've backed legislation to enact harsher penalties for traffickers and expand access to addiction treatment.

Getting this deadly drug out of our communities will continue to be a goal of mine in 2024. #YearInReview https://t.co/3J3nyPcNvv",3,2,6,149.0,0,en,0.723425743010477,1.0,0,-1,outlier
us,repcohen,1740366582071832789_a,162069635_a,2023-12-28 17:38:23.313000,2023-12-28 13:38:22,"A historic step by @POTUS in pardoning all federal marijuana possession cases, something I’ve been working towards for years.

It's more than ensuring policy keeps up with reality—it's about correcting historic injustice, primarily against Black Americans.https://t.co/BxzF0b4l7g",5,9,28,966.0,0,en,0.7117684431067421,0.0,0,-1,outlier
us,reploritrahan,1740410991840510116_a,1079802482640019456_a,2023-12-28 17:38:23.706000,2023-12-28 16:34:50,"RT @LWVMA: On the 100th anniversary of the filing of the ERA, we salute our members of Congress who support its enshrinement. #ERANow Tags:…",0,3,0,,0,en,0.6854198323329324,0.0,0,-1,outlier
us,repdesposito,1740354347270316213_a,1608215359462559746_a,2023-12-28 17:38:22.869000,2023-12-28 12:49:45,RT @HouseGOP: House Republicans restored parents' voices everywhere by passing the Parents Bill of Rights. #CommitmentToAmerica https://t.c…,0,61,0,,0,en,0.6889301294057822,0.0,0,2,Public Service and Community Engagement
us,repjohnjoyce,1740399551192678598_a,1082311988926124036_a,2023-12-28 17:38:24.321000,2023-12-28 15:49:22,"New CBP data shows that 242,418 illegal migrants were encountered crossing the U.S.-Mexico border in December.
It's time for the Senate to vote on H.R. 2, which would provide our Border Patrol Agents with the tools and resources they need to protect our communities.",4,1,5,265.0,0,en,0.7321429888512743,1.0,0,1,U.S. Immigration and Border Security
us,repjamescomer,1740402232540197010_a,1274852794206388225_a,2023-12-28 17:38:24.028000,2023-12-28 16:00:02,"🚨 Rooting out waste, fraud, and abuse in the federal government and holding the Biden Administration accountable remains my primary focus.

@GOPoversight will continue to shine a light on Joe Biden's involvement in his family's influence peddling schemes. @NEWSMAX https://t.co/nm9tbRxtNp",226,98,302,5766.0,0,en,0.7204856680764166,1.0,0,-1,outlier
us,repspanberger,1740423709741994141_a,1078771401497161728_a,2023-12-28 17:38:23.903000,2023-12-28 17:25:22,"As part of the FY2024 NDAA, the President signed into law my bills to:

✅ Crack down on synthetic fentanyl trafficking by the Mexico-based Sinaloa and Jalisco Cartels
✅ Modernize our outdated security classification system to better protect classified information https://t.co/A2pQjNb7Qk",0,5,10,585.0,0,en,0.7146973486678212,0.0,0,-1,outlier
us,repjamescomer,1740381248848322773_a,1274852794206388225_a,2023-12-28 17:38:24.028000,2023-12-28 14:36:39,"RT @ericbolling: HERE COMES OVERSIGHT! Comer, Jordan Probing Biden for ‘Conspiracy to Obstruct Congress’  https://t.co/cgzt6IIQSq",0,110,0,,0,en,0.7190711947114629,1.0,0,-1,outlier
us,repjamescomer,1740380263819944199_a,1274852794206388225_a,2023-12-28 17:38:24.028000,2023-12-28 14:32:44,RT @S_Fitzpatrick: NEW: The House Oversight and Judiciary committees on Wednesday requested communications between the White House and lawy…,0,49,0,,0,en,0.7098416292515421,0.0,0,-1,outlier
us,reprwilliams,1740403649359282435_a,1077446982_a,2023-12-28 17:38:24.199000,2023-12-28 16:05:39,"242,418 illegal migrants were encountered crossing the border in December.

This is the highest number ever recorded for December, and the third-highest month of the Biden administration.

Joe Biden and his border czar Kamala Harris refuse to take this crisis seriously.",7,0,4,491.0,0,en,0.7360834886401515,1.0,0,1,U.S. Immigration and Border Security
us,reprwilliams,1740401613532233807_a,1077446982_a,2023-12-28 17:38:24.199000,2023-12-28 15:57:34,"RT @HouseGOP: House Republicans' Parents Bill of Rights gives parents a right to:

✅Know what’s being taught in schools &amp; to see reading ma…",0,68,0,,0,en,0.6772265163679941,0.0,0,2,Public Service and Community Engagement
us,repcasten,1740414304799674822_a,1083472286089396224_a,2023-12-28 17:38:25.003000,2023-12-28 16:48:00,"The Clean Electricity and Transmission Acceleration Act is paving the way for good-paying American jobs by unlocking the full potential of our nation’s clean energy power.

Read more ⬇️

https://t.co/aYzCE1xpbf",2,2,8,467.0,0,en,0.7014998446327667,0.0,0,2,Public Service and Community Engagement
us,johnboozman,1740379576688394688_a,5558312_a,2023-12-28 17:38:25.561000,2023-12-28 14:30:00,"On this day in history: December 28, 1945 Congress adopted the Pledge of Allegiance into the United States Flag code. #PledgeofAllegianceDay
Let this be a reminder of the ideals, values and beliefs the American flag represents. https://t.co/0XQqRmjclQ",6,3,14,774.0,0,en,0.7093406574555807,0.0,0,-1,outlier
us,repjimmypanetta,1740417332378546406_a,796736612554117120_a,2023-12-28 17:38:26.173000,2023-12-28 17:00:02,"As deaths from fentanyl rise in our community, we need to recognize that this crisis is evolving. I’m leading the effort at the federal level to give law enforcement the tools they need to stop the flow of deadly xylazine-adulterated fentanyl.
https://t.co/QP0vhE9q6W",1,1,3,178.0,0,en,0.7266867448378937,1.0,0,-1,outlier
us,repjimmypanetta,1740410019458523261_a,796736612554117120_a,2023-12-28 17:38:26.173000,2023-12-28 16:30:58,RT @sccounty: Rio Del Mar Esplanade is currently flooded. Please avoid the area. https://t.co/seZbMIAJcF,0,32,0,,0,en,0.7036842121117555,0.0,0,-1,outlier
